pl_name,hostname,hip,hd,snum,sy_dist,ra,dec,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,method,year
HD 15337 b,HD 15337,11433,15337,1,44.816,36.86788,-27.63612,,5131,0.855,0.829,,,4.75598,0.058,1.77,6.519,,Transit,2019
HD 15337 c,HD 15337,11433,15337,1,44.816,36.86788,-27.63612,,5131,0.855,0.829,,,17.18055,0.096,2.526,6.792,,Transit,2019
NGTS-4 b,NGTS-4,,,1,280.555,89.59889,-30.8118,,5143,0.84,0.75,,0.019,1.33735,0,3.18,20.6,1650,Transit,2019
K2-133 e,K2-133,,,1,75.17,70.14938,25.00981,M1.5 V,3655,0.455,0.461,-1.4789,0.1346,26.5841,,1.73,,296,Transit,2019
K2-32 e,K2-32,,,2,157.682,252.42601,-19.54305,,5271,0.86,0.83,,0.04899,4.34934,0.043,1.212,2.1,1066,Transit,2019
EPIC 201238110 b,EPIC 201238110,,,1,159.259,179.70585,-3.38946,,,,0.41,,,28.1656,,1.87,,,Transit,2019
EPIC 201497682 b,EPIC 201497682,,,1,253.026,168.93668,0.48806,,,,0.78,,,2.13174,,0.692,,,Transit,2019
EPIC 201615463 c,K2-166,,,1,476.882,185.18809,2.28238,,,,1.073,,,3.80464,,1.22,,,Transit,2019
EPIC 201754305 d,K2-16,,,1,334.967,175.09722,4.55743,,,,0.67,,,2.71578,,1.03,,,Transit,2019
EPIC 201833600 c,K2-50,,,1,257.443,169.48365,5.98829,,,,0.611,,,3.96151,,1,,,Transit,2019
EPIC 201841433 b,EPIC 201841433,,,1,436.488,175.20675,6.13481,,5053,0.628,0.802,,0.035,4.1698,,1.04,,,Transit,2019
EPIC 205950854 c,K2-168,,,1,243.935,333.11007,-16.34189,,5503,0.83,0.877,,,8.05072,,1.31,,961,Transit,2019
EPIC 206024342 b,EPIC 206024342,,,1,369.888,331.27714,-14.1218,,,,0.928,,,4.50756,,1.7,,,Transit,2019
EPIC 206032309 b,EPIC 206032309,,,1,161.365,341.24046,-13.90112,,,,0.221,,,2.87814,,1.01,,,Transit,2019
EPIC 206042996 b,EPIC 206042996,,,1,451.769,337.51362,-13.61015,,4114,0.5,,,,5.2986,,1.7,,,Transit,2019
EPIC 206215704 b,EPIC 206215704,,,1,109.888,335.09497,-9.50971,,3297,0.25,,,,2.25544,,1,,,Transit,2019
EPIC 206317286 b,EPIC 206317286,,,1,314.35,337.61784,-7.97246,,,,0.711,,,1.58252,,0.96,,,Transit,2019
